code,open_date
002218.SZ,20260324
603529.SH,20260324
000065.SZ,20260325
601330.SH,20260325
601975.SH,20260325
000070.SZ,20260326
600163.SH,20260326
603629.SH,20260326
002109.SZ,20260327
002192.SZ,20260327
600163.SH,20260327
002192.SZ,20260330
002428.SZ,20260330
603538.SH,20260330
000592.SZ,20260331
600343.SH,20260331
603256.SH,20260331
002342.SZ,20260401
002565.SZ,20260401
600528.SH,20260401
000534.SZ,20260402
002624.SZ,20260402
605289.SH,20260402
000155.SZ,20260403
600339.SH,20260403
603477.SH,20260403
003031.SZ,20260407
600056.SH,20260407
605589.SH,20260407
000703.SZ,20260408
300821.SZ,20260408
605589.SH,20260408
000426.SZ,20260409
000534.SZ,20260409
002131.SZ,20260409
002025.SZ,20260410
002384.SZ,20260410
600330.SH,20260410
600105.SH,20260413
600482.SH,20260413
603026.SH,20260413
002943.SZ,20260414
002980.SZ,20260414
603256.SH,20260414
600855.SH,20260415
603026.SH,20260415
603698.SH,20260415
001208.SZ,20260416
002498.SZ,20260416
603698.SH,20260416
000657.SZ,20260417
603920.SH,20260417
605060.SH,20260417
002957.SZ,20260420
600330.SH,20260420
603629.SH,20260420
002149.SZ,20260421
002324.SZ,20260421
600118.SH,20260421
000539.SZ,20260422
600699.SH,20260422
000751.SZ,20260423
605376.SH,20260423
002490.SZ,20260424
600726.SH,20260424
600986.SH,20260424
001339.SZ,20260427
002290.SZ,20260427
600633.SH,20260427
600418.SH,20260428
603486.SH,20260428
603501.SH,20260428
600770.SH,20260429
603259.SH,20260429
603629.SH,20260429
000657.SZ,20260430
600111.SH,20260430
603026.SH,20260430
000066.SZ,20260506
002149.SZ,20260506
603119.SH,20260506
002015.SZ,20260507
002290.SZ,20260507
603986.SH,20260507
